Date,Open,High,Low,Close,Adj Close,Volume
2011-04-18,9.810000,10.000000,9.790000,9.990000,7.435618,99300
2011-04-19,10.000000,10.030000,9.840000,9.920000,7.383514,71800
2011-04-20,10.160000,10.160000,9.930000,10.010000,7.450503,172900
2011-04-21,10.050000,10.220000,9.870000,10.180000,7.577035,106000
2011-04-25,10.140000,10.230000,10.050000,10.180000,7.577035,97000
2011-04-26,10.230000,10.640000,10.190000,10.630000,7.911974,101600
2011-04-27,10.640000,11.000000,10.590000,10.910000,8.120378,200100
2011-04-28,10.910000,10.940000,10.690000,10.770000,8.016174,169900
2011-04-29,10.820000,10.900000,10.650000,10.670000,7.941745,234000
2011-05-02,10.710000,11.010000,10.560000,10.580000,7.874757,118000
2011-05-03,10.570000,10.840000,10.480000,10.510000,7.822654,96000
2011-05-04,10.550000,10.610000,10.460000,10.500000,7.815211,103000
2011-05-05,10.440000,10.720000,10.420000,10.490000,7.807770,97900
2011-05-06,10.640000,10.730000,10.470000,10.510000,7.822654,62400
2011-05-09,10.480000,10.710000,10.470000,10.670000,7.941745,73000
2011-05-10,10.740000,10.740000,10.500000,10.710000,7.971519,47800
2011-05-11,10.680000,10.710000,10.360000,10.490000,7.807770,79000
2011-05-12,10.410000,10.770000,10.380000,10.690000,7.956628,53000
2011-05-13,10.720000,10.750000,10.480000,10.490000,7.807770,54500
2011-05-16,10.460000,10.510000,10.190000,10.200000,7.591920,124600
2011-05-17,10.190000,10.230000,9.880000,10.030000,7.465389,154200
2011-05-18,10.050000,10.090000,9.890000,10.030000,7.465389,83200
2011-05-19,10.120000,10.130000,9.880000,10.010000,7.450503,72100
2011-05-20,9.990000,10.270000,9.980000,10.040000,7.472830,118800
2011-05-23,9.780000,10.140000,9.780000,10.010000,7.450503,104000
2011-05-24,10.050000,10.070000,9.820000,9.870000,7.346299,113700
2011-05-25,9.840000,10.100000,9.840000,9.990000,7.435618,95300
2011-05-26,9.950000,10.230000,9.910000,10.220000,7.606807,75100
2011-05-27,10.230000,10.340000,10.170000,10.310000,7.673794,76900
2011-05-31,10.480000,10.530000,10.400000,10.470000,7.792884,388000
2011-06-01,10.380000,10.470000,9.980000,9.990000,7.485665,105400
2011-06-02,10.020000,10.210000,9.880000,9.910000,7.425718,78700
2011-06-03,9.750000,9.910000,9.630000,9.760000,7.313323,128500
2011-06-06,9.740000,9.910000,9.650000,9.740000,7.298336,100600
2011-06-07,9.820000,10.220000,9.820000,9.860000,7.388251,112000
2011-06-08,9.850000,10.160000,9.850000,10.040000,7.523129,141500
2011-06-09,10.070000,10.340000,10.000000,10.080000,7.553104,107900
2011-06-10,10.010000,10.070000,9.860000,9.900000,7.418225,103200
2011-06-13,9.990000,10.030000,9.680000,9.700000,7.268364,98600
2011-06-14,9.850000,9.930000,9.790000,9.820000,7.358282,276000
2011-06-15,9.730000,9.870000,9.640000,9.680000,7.253375,139700
2011-06-16,9.690000,10.220000,9.680000,9.970000,7.470677,168100
2011-06-17,10.070000,10.320000,10.070000,10.200000,7.643020,249300
2011-06-20,10.170000,10.370000,10.170000,10.200000,7.643020,214000
2011-06-21,10.270000,10.420000,10.190000,10.280000,7.702964,192900
2011-06-22,10.260000,10.420000,10.120000,10.140000,7.598063,185300
2011-06-23,9.980000,10.170000,9.840000,10.080000,7.553104,165500
2011-06-24,10.100000,10.150000,9.880000,9.990000,7.485665,692400
2011-06-27,9.990000,10.270000,9.900000,10.240000,7.672992,265000
2011-06-28,10.240000,10.420000,10.240000,10.300000,7.717953,197000
2011-06-29,10.360000,10.360000,10.230000,10.260000,7.687980,177500
2011-06-30,10.320000,10.350000,10.270000,10.280000,7.702964,147300
2011-07-01,10.330000,10.890000,10.300000,10.820000,8.107595,215100
2011-07-05,10.810000,10.830000,10.680000,10.820000,8.107595,162100
2011-07-06,10.760000,11.010000,10.760000,11.000000,8.242470,161500
2011-07-07,11.080000,11.390000,11.030000,11.210000,8.399830,110500
2011-07-08,11.040000,11.350000,11.040000,11.290000,8.459773,134900
2011-07-11,11.150000,11.390000,11.120000,11.270000,8.444790,146700
2011-07-12,11.220000,11.640000,11.220000,11.500000,8.617133,122900
2011-07-13,11.530000,11.910000,11.530000,11.770000,8.819447,131900
2011-07-14,11.800000,11.890000,11.670000,11.680000,8.752007,189500
2011-07-15,11.710000,11.890000,11.640000,11.740000,8.796968,136200
2011-07-18,11.720000,11.810000,11.290000,11.450000,8.579664,88400
2011-07-19,11.550000,11.690000,11.450000,11.620000,8.707049,101800
2011-07-20,11.650000,11.780000,11.530000,11.760000,8.811952,82600
2011-07-21,11.880000,12.290000,11.770000,12.190000,9.134154,204300
2011-07-22,12.210000,12.250000,11.980000,12.000000,8.991790,156700
2011-07-25,11.920000,12.260000,11.770000,12.110000,9.074212,212200
2011-07-26,12.110000,12.180000,12.020000,12.070000,9.044242,91700
2011-07-27,12.040000,12.090000,11.740000,11.810000,8.849417,244200
2011-07-28,11.780000,11.960000,11.350000,11.600000,8.692063,191800
2011-07-29,11.450000,12.150000,11.450000,11.900000,8.916857,199400
2011-08-01,12.040000,12.170000,11.820000,11.960000,8.961815,181400
2011-08-02,11.910000,12.080000,11.650000,11.680000,8.752007,217000
2011-08-03,11.710000,11.950000,11.430000,11.780000,8.826941,226700
2011-08-04,11.630000,11.820000,11.400000,11.470000,8.594651,308300
2011-08-05,11.590000,11.690000,11.110000,11.250000,8.429802,214200
2011-08-08,11.090000,11.520000,10.110000,10.160000,7.613048,360300
2011-08-09,10.340000,11.080000,9.610000,10.760000,8.062634,365900
2011-08-10,10.600000,10.930000,10.240000,10.580000,7.927761,317700
2011-08-11,10.680000,11.000000,10.610000,10.630000,7.965227,386500
2011-08-12,10.720000,10.790000,10.480000,10.740000,8.047650,265000
2011-08-15,10.820000,11.100000,10.730000,10.850000,8.130075,286000
